,a,b,c,č,ć,d,dž,đ,e,f,g,h,i,j,k,l,lj,m,n,nj,o,p,r,s,š,t,u,v,z,ž,space,w,x,y
a,0.0,0.011902,0.007379,0.005475,0.00119,0.041181,0.0,0.001904,0.0,0.000238,0.027612,0.000952,0.000238,0.029755,0.055463,0.081409,0.016187,0.054273,0.14568,0.017615,0.0,0.00976,0.138776,0.044513,0.001428,0.050464,0.000238,0.13354,0.076886,0.033801,0.01214,0.0,0.0,0.0
b,0.149275,0.0,0.0,0.0,0.0,0.023188,0.0,0.0,0.026087,0.0,0.0,0.0,0.005797,0.0,0.0,0.004348,0.0,0.002899,0.001449,0.0,0.291304,0.0,0.024638,0.002899,0.0,0.0,0.211594,0.0,0.053623,0.023188,0.17971,0.0,0.0,0.0
c,0.25,0.0,0.0,0.005814,0.0,0.005814,0.0,0.0,0.063953,0.0,0.0,0.0,0.401163,0.0,0.023256,0.0,0.0,0.0,0.040698,0.0,0.104651,0.0,0.0,0.0,0.0,0.0,0.023256,0.005814,0.0,0.0,0.075581,0.0,0.0,0.0
č,0.126005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040214,0.0,0.0,0.0,0.168901,0.0,0.005362,0.0,0.0,0.067024,0.0,0.0,0.0563,0.0,0.0,0.0,0.0,0.0,0.193029,0.002681,0.0,0.0,0.340483,0.0,0.0,0.0
ć,0.054545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.390909,0.0,0.0,0.0,0.072727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.163636,0.081818,0.0,0.0,0.045455,0.0,0.127273,0.0,0.0,0.0,0.063636,0.0,0.0,0.0
d,0.112128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.231121,0.0,0.0,0.0,0.008391,0.000763,0.0,0.0,0.0,0.0,0.022121,0.0,0.279939,0.0,0.003051,0.000763,0.0,0.0,0.046529,0.003051,0.008391,0.0,0.283753,0.0,0.0,0.0
dž,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
đ,0.09434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.679245,0.0,0.0,0.0,0.018868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056604,0.0,0.09434,0.0,0.0,0.0,0.056604,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e,0.0,0.016974,0.005056,0.017335,0.011557,0.020946,0.0,0.016974,0.0,0.005056,0.006139,0.0,0.0,0.212351,0.087035,0.009029,0.016612,0.031419,0.093174,0.047671,0.0,0.002167,0.176959,0.060672,0.010112,0.067895,0.0,0.042976,0.010834,0.028891,0.002167,0.0,0.0,0.0
f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0
g,0.0625,0.0,0.0,0.0,0.001894,0.020833,0.0,0.0,0.075758,0.0,0.0,0.0,0.037879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.462121,0.0,0.017045,0.0,0.0,0.0,0.162879,0.0,0.001894,0.0,0.157197,0.0,0.0,0.0
