,a,b,c,č,ć,d,dž,đ,e,f,g,h,i,j,k,l,lj,m,n,nj,o,p,r,s,š,t,u,v,z,ž,space,w,x,y
h,0.018182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002273,0.0,0.0,0.0,0.386364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002273,0.004545,0.004545,0.0,0.015909,0.022727,0.0,0.0,0.0,0.543182,0.0,0.0,0.0
i,0.000309,0.03525,0.033395,0.02381,0.012987,0.037106,0.0,0.001546,0.000309,0.001237,0.010204,0.003401,0.000928,0.017007,0.034941,0.094001,0.005257,0.011441,0.164811,0.012369,0.001546,0.016698,0.060915,0.025046,0.002783,0.125541,0.000309,0.050402,0.015152,0.009276,0.192022,0.0,0.0,0.0
j,0.075625,0.004051,0.005402,0.002701,0.0,0.038488,0.0,0.0,0.000675,0.0,0.0,0.0,0.134369,0.0,0.0,0.134369,0.0,0.014855,0.196489,0.0,0.130317,0.0,0.002701,0.051317,0.0,0.008103,0.051992,0.047941,0.0,0.0,0.100608,0.0,0.0,0.0
k,0.239286,0.0,0.0,0.033571,0.0,0.0,0.0,0.0,0.014286,0.0,0.0,0.0,0.195,0.005,0.0,0.0,0.0,0.0,0.014286,0.0,0.042143,0.006429,0.0,0.260714,0.006429,0.024286,0.025714,0.005714,0.0,0.0,0.127143,0.0,0.0,0.0
l,0.095041,0.129752,0.0,0.092562,0.000826,0.054545,0.0,0.0,0.129752,0.0,0.030579,0.0,0.095868,0.0,0.044628,0.0,0.0,0.005785,0.0,0.0,0.042975,0.014876,0.003306,0.101653,0.004132,0.001653,0.017355,0.099174,0.010744,0.0,0.024793,0.0,0.0,0.0
lj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m,0.097773,0.0,0.0,0.0,0.0,0.007744,0.0,0.0,0.10455,0.0,0.001936,0.0,0.263311,0.002904,0.0,0.000968,0.0,0.0,0.0,0.0,0.28364,0.0,0.00484,0.017425,0.0,0.0,0.032914,0.0,0.005808,0.0,0.176186,0.0,0.0,0.0
n,0.190591,0.009248,0.0,0.011259,0.002815,0.079614,0.0,0.0,0.126659,0.0,0.001206,0.0,0.070366,0.006836,0.002413,0.029353,0.004825,0.006836,0.0,0.0,0.078408,0.018898,0.016888,0.034178,0.004423,0.016084,0.016486,0.054684,0.0193,0.014475,0.184158,0.0,0.0,0.0
nj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
o,0.005378,0.059791,0.0,0.001582,0.0,0.029105,0.0,0.0,0.005694,0.001898,0.030054,0.006643,0.009174,0.00348,0.13888,0.053464,0.000316,0.060108,0.160709,0.000633,0.000316,0.09111,0.059158,0.022778,0.0,0.026574,0.0,0.07118,0.005062,0.0,0.156912,0.0,0.0,0.0
p,0.015873,0.0,0.0,0.0,0.0,0.000882,0.0,0.0,0.145503,0.0,0.0,0.0,0.011464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067019,0.0,0.002646,0.042328,0.000882,0.006173,0.104056,0.0,0.0,0.0,0.603175,0.0,0.0,0.0
r,0.050141,0.029053,0.001874,0.0,0.0,0.102624,0.0,0.0,0.040769,0.0,0.02343,0.108247,0.025305,0.000469,0.024836,0.0,0.0,0.001406,0.000937,0.0,0.121368,0.221181,0.0,0.010309,0.0,0.033271,0.033739,0.025773,0.009372,0.0,0.135895,0.0,0.0,0.0
s,0.073689,0.000989,0.0,0.0,0.0,0.044016,0.0,0.0,0.025223,0.0,0.0,0.000495,0.056874,0.005935,0.000495,0.000495,0.000989,0.003462,0.020277,0.000989,0.176558,0.00544,0.014837,0.0,0.0,0.122156,0.047478,0.000989,0.0,0.0,0.398615,0.0,0.0,0.0
š,0.278788,0.0,0.0,0.0,0.0,0.006061,0.0,0.0,0.090909,0.0,0.0,0.0,0.321212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084848,0.0,0.054545,0.0,0.0,0.0,0.042424,0.0,0.0,0.0,0.121212,0.0,0.0,0.0
t,0.245421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053114,0.0,0.0,0.003053,0.156288,0.0,0.005495,0.007937,0.0,0.0,0.010379,0.0,0.034799,0.004884,0.001832,0.311355,0.053724,0.0,0.021978,0.0,0.0,0.0,0.089744,0.0,0.0,0.0
u,0.002825,0.010169,0.00339,0.015819,0.007345,0.061582,0.0,0.025989,0.006215,0.0,0.035593,0.001695,0.0,0.058757,0.035028,0.044068,0.025424,0.015819,0.043503,0.023164,0.005085,0.094915,0.071186,0.067232,0.00113,0.077401,0.00113,0.015254,0.007345,0.000565,0.242373,0.0,0.0,0.0
v,0.315547,0.007246,0.0,0.0,0.0,0.009881,0.0,0.0,0.019104,0.0,0.0,0.002635,0.069829,0.003953,0.003953,0.0,0.0,0.0,0.001976,0.0,0.15415,0.0,0.158103,0.068511,0.0,0.065876,0.025033,0.0,0.015152,0.0,0.079051,0.0,0.0,0.0
z,0.11646,0.001553,0.0,0.0,0.0,0.007764,0.0,0.0,0.09472,0.0,0.0,0.0,0.167702,0.0,0.0,0.0,0.0,0.0,0.007764,0.0,0.029503,0.0,0.0,0.0,0.0,0.0,0.057453,0.0,0.0,0.0,0.517081,0.0,0.0,0.0
ž,0.104235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026059,0.0,0.0,0.0,0.009772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.218241,0.0,0.355049,0.0,0.0,0.0,0.237785,0.0,0.0,0.0,0.04886,0.0,0.0,0.0
space,0.223299,0.001671,0.000167,0.0,0.001504,0.012034,0.0,0.0,0.186528,0.0,0.01872,0.026742,0.185693,0.010196,0.029584,0.000334,0.001337,0.063513,0.013204,0.0,0.065853,0.000334,0.010028,0.006518,0.000167,0.01521,0.113822,0.004179,0.009026,0.000334,0.0,0.0,0.0,0.0
w,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
