,a,b,c,č,ć,d,dž,đ,e,f,g,h,i,j,k,l,lj,m,n,nj,o,p,r,s,š,t,u,v,z,ž,space,w,x,y
a,0.0,0.015231,0.017857,0.017332,0.009454,0.07563,0.0,0.003151,0.002101,0.001576,0.017332,0.004202,0.000525,0.037815,0.089811,0.084559,0.01313,0.068803,0.128676,0.008403,0.0,0.023634,0.109769,0.037815,0.004727,0.066702,0.0,0.051471,0.053046,0.007353,0.049895,0.0,0.0,0.0
b,0.060302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060302,0.0,0.0,0.0,0.015075,0.005025,0.0,0.0,0.0,0.025126,0.0,0.0,0.201005,0.0,0.015075,0.0,0.0,0.0,0.090452,0.0,0.060302,0.005025,0.462312,0.0,0.0,0.0
c,0.149254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.097015,0.0,0.0,0.0,0.380597,0.0,0.0,0.007463,0.007463,0.0,0.029851,0.0,0.052239,0.007463,0.022388,0.022388,0.0,0.0,0.014925,0.074627,0.0,0.0,0.126866,0.007463,0.0,0.0
č,0.201613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.153226,0.0,0.0,0.0,0.16129,0.0,0.0,0.0,0.0,0.0,0.024194,0.0,0.112903,0.008065,0.0,0.0,0.008065,0.0,0.056452,0.0,0.0,0.0,0.274194,0.0,0.0,0.0
ć,0.107143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.185714,0.0,0.0,0.0,0.221429,0.0,0.021429,0.0,0.0,0.0,0.0,0.0,0.121429,0.021429,0.007143,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.114286,0.0,0.0,0.0
d,0.1744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1488,0.0,0.0112,0.0,0.0224,0.0,0.0,0.0,0.0,0.0016,0.0416,0.0,0.192,0.0,0.0096,0.0,0.0,0.0,0.032,0.0176,0.0048,0.0016,0.3424,0.0,0.0,0.0
dž,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
đ,0.241379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.206897,0.0,0.0,0.0,0.103448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.172414,0.0,0.068966,0.0,0.0,0.0,0.068966,0.0,0.0,0.068966,0.068966,0.0,0.0,0.0
e,0.0,0.008053,0.018302,0.02123,0.031479,0.025622,0.0,0.009517,0.0,0.004392,0.00366,0.00366,0.0,0.275988,0.022694,0.034407,0.022694,0.033675,0.114934,0.026354,0.0,0.008785,0.091508,0.083455,0.020498,0.043924,0.0,0.040264,0.01757,0.029283,0.008053,0.0,0.0,0.0
f,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111111,0.0,0.0,0.0,0.055556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222222,0.055556,0.0,0.055556,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0
g,0.096654,0.0,0.0,0.0,0.0,0.007435,0.0,0.0,0.100372,0.0,0.0,0.0,0.018587,0.0,0.0,0.003717,0.0,0.0,0.026022,0.0,0.297398,0.0,0.033457,0.0,0.0,0.0,0.055762,0.0,0.070632,0.0,0.289963,0.0,0.0,0.0
h,0.071429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02381,0.0,0.0,0.0,0.452381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02381,0.0,0.011905,0.047619,0.0,0.0,0.095238,0.0,0.0,0.0,0.27381,0.0,0.0,0.0
i,0.001316,0.045395,0.031579,0.014474,0.019737,0.063158,0.001316,0.001974,0.000658,0.002632,0.007895,0.001974,0.0,0.026316,0.032237,0.091447,0.005263,0.036842,0.132895,0.006579,0.002632,0.011842,0.075658,0.020395,0.010526,0.095395,0.000658,0.069737,0.015132,0.0125,0.161184,0.000658,0.0,0.0
j,0.105389,0.002395,0.0,0.001198,0.0,0.033533,0.0,0.0,0.007186,0.0,0.0,0.0,0.189222,0.0,0.0,0.118563,0.0,0.02994,0.08982,0.0,0.141317,0.001198,0.0,0.023952,0.0,0.011976,0.010778,0.015569,0.0,0.0,0.216766,0.0,0.0,0.001198
k,0.110769,0.0,0.003077,0.018462,0.0,0.0,0.0,0.0,0.084615,0.0,0.0,0.0,0.106154,0.010769,0.0,0.001538,0.0,0.0,0.030769,0.0,0.050769,0.001538,0.012308,0.109231,0.024615,0.038462,0.018462,0.003077,0.0,0.0,0.375385,0.0,0.0,0.0
l,0.154804,0.02669,0.001779,0.0,0.0,0.014235,0.0,0.0,0.113879,0.0,0.060498,0.0,0.119217,0.0,0.016014,0.001779,0.0,0.02847,0.0,0.0,0.126335,0.046263,0.001779,0.11032,0.035587,0.001779,0.032028,0.02847,0.016014,0.0,0.064057,0.0,0.0,0.0
lj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m,0.17331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133449,0.0,0.0,0.0,0.183709,0.001733,0.0,0.005199,0.0,0.0,0.0,0.0,0.175043,0.0,0.008666,0.060659,0.0,0.0,0.019064,0.0,0.006932,0.0,0.232236,0.0,0.0,0.0
n,0.145812,0.005171,0.0,0.014478,0.003102,0.049638,0.0,0.0,0.098242,0.001034,0.001034,0.0,0.107549,0.004137,0.001034,0.005171,0.0,0.003102,0.006205,0.0,0.094105,0.002068,0.009307,0.009307,0.018614,0.024819,0.026887,0.020683,0.023785,0.004137,0.320579,0.0,0.0,0.0
nj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
o,0.023066,0.023066,0.002035,0.001357,0.000678,0.059701,0.0,0.000678,0.00882,0.001357,0.048847,0.00882,0.017639,0.017639,0.156716,0.044776,0.007463,0.062415,0.078019,0.002035,0.0,0.082768,0.059701,0.011533,0.000678,0.065129,0.0,0.080733,0.004071,0.0,0.130258,0.0,0.0,0.0
p,0.093137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012255,0.0,0.0,0.0,0.014706,0.002451,0.0,0.002451,0.0,0.009804,0.0,0.0,0.053922,0.0,0.0,0.034314,0.0,0.009804,0.068627,0.0,0.0,0.0,0.698529,0.0,0.0,0.0
r,0.11157,0.027548,0.004132,0.0,0.0,0.059229,0.0,0.0,0.063361,0.0,0.050964,0.011019,0.07438,0.001377,0.039945,0.0,0.0,0.0,0.0,0.0,0.086777,0.19146,0.0,0.022039,0.0,0.07989,0.030303,0.044077,0.004132,0.0,0.097796,0.0,0.0,0.0
s,0.067114,0.0,0.0,0.0,0.0,0.009396,0.0,0.0,0.056376,0.0,0.0,0.0,0.075168,0.008054,0.001342,0.002685,0.004027,0.001342,0.022819,0.001342,0.128859,0.002685,0.026846,0.0,0.0,0.008054,0.030872,0.001342,0.0,0.0,0.551678,0.0,0.0,0.0
š,0.123762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.123762,0.0,0.0,0.0,0.29703,0.0,0.0,0.0,0.0,0.0,0.00495,0.0,0.118812,0.00495,0.00495,0.0,0.0,0.00495,0.089109,0.024752,0.0,0.0,0.20297,0.0,0.0,0.0
t,0.149847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.088685,0.001529,0.0,0.006116,0.090214,0.001529,0.012232,0.006116,0.0,0.0,0.01682,0.0,0.061162,0.0,0.013761,0.198777,0.099388,0.0,0.058104,0.0,0.0,0.0,0.195719,0.0,0.0,0.0
u,0.018388,0.018388,0.014144,0.004243,0.016973,0.043847,0.0,0.007072,0.008487,0.0,0.024045,0.0,0.0,0.089109,0.123055,0.031117,0.019802,0.019802,0.043847,0.01273,0.001414,0.043847,0.059406,0.093352,0.009901,0.033946,0.0,0.015559,0.004243,0.009901,0.23338,0.0,0.0,0.0
v,0.177866,0.0,0.001976,0.009881,0.0,0.021739,0.0,0.0,0.049407,0.0,0.0,0.011858,0.083004,0.007905,0.005929,0.0,0.001976,0.001976,0.0,0.0,0.235178,0.0,0.043478,0.086957,0.001976,0.055336,0.003953,0.0,0.023715,0.0,0.175889,0.0,0.0,0.0
z,0.12766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053191,0.0,0.0,0.0,0.237589,0.0,0.0,0.0,0.0,0.0,0.003546,0.0,0.067376,0.0,0.007092,0.0,0.0,0.0,0.049645,0.0,0.0,0.0,0.453901,0.0,0.0,0.0
ž,0.296703,0.0,0.0,0.0,0.0,0.021978,0.0,0.0,0.054945,0.0,0.0,0.0,0.065934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.208791,0.0,0.098901,0.0,0.0,0.0,0.043956,0.0,0.0,0.0,0.208791,0.0,0.0,0.0
space,0.213827,0.000306,0.002141,0.000918,0.010095,0.025084,0.0,0.000306,0.190578,0.000306,0.015601,0.011318,0.144693,0.017437,0.008259,0.002753,0.00153,0.055675,0.013766,0.0,0.111349,0.000612,0.011013,0.011013,0.006118,0.013766,0.116855,0.002141,0.012236,0.000306,0.0,0.0,0.0,0.0
w,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
